Number,RRR,Result,Result 50% Candle SL,Entry Candle,Zone Touch #,Zone Origin,Re-entry @ Other Level,Fast Into Profits,Trade @ Range Over,Checked
1,3.37,-1,-1,Hammer,2,1,No,No,No,No
2,2.43,-1,-1,Hammer,3,0,No,No,No,No
3,2.29,-1,-1,Engulfing,3,0,No,No,No,No
4,2.97,-1,-1,Engulfing,3,0,No,No,No,No
5,3.48,,,Spinning,4,0,No,No,No,No
6,3.22,3.22,3.22,Spinning,4,0,No,Yes,No,No
7,1.98,0,0,Spinning,5,0,No,No,No,No
8,4.8,-1,-1,Spinning,2,0,No,No,No,No
9,4.59,4.59,4.59,Spinning,3,2,No,Yes,No,No
10,1.71,-1,-1,Spinning,2,0,No,No,No,No
11,2.77,-1,-1,Spinning,2,0,No,No,No,No
12,2.15,-1,-1,Hammer,3,0,No,No,No,No
13,1.71,1.71,1.71,Spinning,2,0,No,Yes,No,No
14,6,-1,-1,Spinning,4,1,No,No,Yes,No
15,6.48,-1,-1,Spinning,4,1,No,No,Yes,No
16,5.07,4.67,4.67,Hammer,2,1,No,No,No,No
17,1.86,-1,-1,Spinning,2,0,No,No,No,No
18,3.87,-1,-1,Hammer,8,1,No,No,No,No
19,1.97,-1,-1,Spinning,3,0,No,No,No,No
20,3.25,3.07,3.07,Spinning,3,0,No,Yes,No,No
21,4.15,0,0,Spinning,3,2,No,No,No,No
22,2.44,-1,-1,Spinning,3,0,No,No,No,No
23,3.9,-1,-1,Spinning,4,0,No,Yes,No,No
24,1.92,-1,-1,Spinning,4,0,No,No,No,No
25,2.66,-1,-1,Spinning,4,1,No,No,No,No
,,,,,,,No,No,No,No
